global_unique_identifier,species1_common,species2_common_orig,species2_predict,interaction,interaction_predict,species2_common_std,species2_predicted_common_std,species_comments,interaction_correct
URN:CornellLabOfOrnithology:EBIRD:OBS1633952606,Song Sparrow,tree sparrows,tree sparrows,co-occur,facilitation-mixed flocking,American Tree Sparrow,American Tree Sparrow,"Continuing here regularly all winter, usually at first light with the tree Sparrows. Striped breast central dark spot",0
URN:CornellLabOfOrnithology:EBIRD:OBS1916304722,Bonaparte's Gull,"canada geese, ring-billed gulls, hering","canada geese, hering, ring-billed gulls",co-occur,co-occur,"Canada Goose, American Herring Gull, Ring-billed Gull","Canada Goose, American Herring Gull, Ring-billed Gull","Swimming around large group of Canada Geese at the very back of the marsh - very small gull, smaller than Hering and Ring-billed Gulls also present, small black bill, black ear spot. These gulls have been reported in this location by other birders in recent days.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1594192540,American Wigeon,"mallards, black ducks","mallards, black ducks",facilitation-mixed flocking,facilitation-mixed flocking,"Mallard, American Black Duck","Mallard, American Black Duck","Male swimming with mallards and black ducks. Clear green eye marks and white forehead, white rump.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1600526581,American Wigeon,ducks,ducks,facilitation-mixed flocking,facilitation-mixed flocking,duck sp.,duck sp.,"in with raft of ducks. male, distinctive head plainly visible. Noted by another birder the same day.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1890890761,Red-shouldered Hawk,"hairy, downy woodpecker","hairy, downy woodpecker",co-occur,co-occur,"Hairy Woodpecker, Downy Woodpecker","Hairy Woodpecker, Downy Woodpecker",The hawk was in my cedars by observing a Hairy and Downy woodpecker. They did not move from my suet feeders for more than 20 to thirty minutes. Then I saw it sitting and eating in the redbud tree,1
URN:CornellLabOfOrnithology:EBIRD:OBS1883363063,Trumpeter Swan,tundra swans,tundra swans,facilitation-mixed flocking,facilitation-mixed flocking,Tundra Swan,Tundra Swan,"2 mixed in among the tundra swans, continuing from another birder's observation yesterday. These individuals are more stout than the Tundra Swans. Dusky reddish hue to head, eye is less prominent than on tundras, no yellow on bill present and border between bill and face is straighter.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1930009876,Eastern Towhee,cardinals,cardinals,facilitation-feeding,facilitation-mixed flocking,Northern Cardinal,Northern Cardinal,"This is a mature female who has been seen quite often this winter. Feeding on the ground under the hanging feeders or on the ground under a nearby mature spruce tree. Never comes alone, frequently in the company of Cardinals.",0
URN:CornellLabOfOrnithology:EBIRD:OBS1641228612,Common Raven,amcr,amcr,co-occur,co-occur,American Crow,American Crow,"Heard calling while checking power line outage. A deep crackled “craw” came from a ways to the northwest and just after a scolding high pitched “caw caw” from that same vicinity. The deep call came from a CORA, which I’ve heard many times, the higher pitched was an AMCR.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1633313719,Red-breasted Nuthatch,white-breasted nuthatch,white-breasted nuthatch,co-occur,co-occur,White-breasted Nuthatch,White-breasted Nuthatch,"Small female nuthatch in tree with muted reddish breast, bluish back and wings, black stripe across the eye. Smaller than the nearby white-breasted nuthatch.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1639629614,Red-winged Blackbird,mixed flick,no species,facilitation-mixed flocking,no interaction,bird sp.,no species,Mixed flicks in the area,0
URN:CornellLabOfOrnithology:EBIRD:OBS1867063722,Lesser Yellowlegs,greater yellowlegs,greater yellowlegs,facilitation-mixed flocking,facilitation-mixed flocking,Greater Yellowlegs,Greater Yellowlegs,Side by side with greater yellowlegs,1
URN:CornellLabOfOrnithology:EBIRD:OBS1912694405,Cackling Goose,canada,canadas,facilitation-mixed flocking,facilitation-mixed flocking,Canada Goose,Canada Goose,Will add photos. Tiny geese overhead w Canada’s,1
URN:CornellLabOfOrnithology:EBIRD:OBS1918329250,American Tree Sparrow,"cardinals, juncos","cardinals, juncos",facilitation-mixed flocking,facilitation-mixed flocking,"Northern Cardinal, Dark-eyed Junco","Northern Cardinal, Dark-eyed Junco","western edge of prairie, edge of swapmp, with cardinals and juncos",1
URN:CornellLabOfOrnithology:EBIRD:OBS1636291442,Ring-necked Duck,redheads,redheads,facilitation-mixed flocking,facilitation-mixed flocking,Redhead,Redhead,"Flagged as high count. On the large pond by the recycling center, with Redheads. Flock moved frequently, flying from one end of the pond to the other, and a couple times circling over the pond in scattered groups for several minutes. Counted birds individually. Photos.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1888380182,Short-eared Owl,no species,no species,no interaction,no interaction,no species,no species,"Continuing, seen at the same time",1
URN:CornellLabOfOrnithology:EBIRD:OBS1938602749,Bonaparte's Gull,gulls,gulls,facilitation-mixed flocking,facilitation-mixed flocking,gull sp.,gull sp.,"Flew south with a flock of gulls. Noted the ear patch and weak ""M"" marking on back.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1898671092,Red-breasted Merganser,hooded mergansers,hooded mergansers,facilitation-mixed flocking,facilitation-mixed flocking,Hooded Merganser,Hooded Merganser,"In with flock of Hooded Mergansers - larger, log thin bill, head dark with shaggy bad hair day crest, male - dark reddish breast, females - grayish breast, no white on throat like Common Merganser",1
URN:CornellLabOfOrnithology:EBIRD:OBS1867555568,Brant,canada geese,canada geese,facilitation-feeding,facilitation-feeding,Canada Goose,Canada Goose,"Continuing, foraging far out on shore with Canada Geese, north of the pier.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1607945963,Golden-crowned Kinglet,"chickadee, titmice","chickadee, titmice",facilitation-mixed flocking,facilitation-mixed flocking,"Black-capped Chickadee, Tufted Titmouse","Black-capped Chickadee, Tufted Titmouse",Originally picked up by Merlin and then seen moving with chickadee and titmice in tree canopy.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1916424339,Brant,canada geese,canada geese,facilitation-mixed flocking,facilitation-mixed flocking,Canada Goose,Canada Goose,Lone bird beyond pond nearest Haslett Road. A 'where’s Waldo' challenge in the midst of many Canada Geese. Continuing. Grainy high ISO pictures below.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1632359999,Red-winged Blackbird,grackles,grackles,facilitation-feeding,facilitation-feeding,Common Grackle,Common Grackle,Flew in to mat feeder on deck with three grackles. Black birds with red and yellow wing bars,1
URN:CornellLabOfOrnithology:EBIRD:OBS1915711304,American Black Duck,mallards,mallards,facilitation-mixed flocking,facilitation-mixed flocking,Mallard,Mallard,Larger numbers mixed withs Mallards on ice and in open water.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1872736571,Snow Goose,canada geese,canada geese,facilitation-mixed flocking,facilitation-mixed flocking,Canada Goose,Canada Goose,"Hanging out with Canada geese. Black wingtips, grin visible.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1892271405,Red-necked Grebe,hogr,hogr,co-occur,co-occur,Horned Grebe,Horned Grebe,"Continuing. Large Grebe with white cheek, black cap and long yellow bill. Easy comparison with nearby HOGR.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1638002397,Red-tailed Hawk,crows,crows,mobbing,mobbing,American Crow,American Crow,Four crows were chasing this red-tailed hawk over the west woods.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1881474383,Hairy Woodpecker,downy,downy,co-occur,co-occur,Downy Woodpecker,Downy Woodpecker,Male In tree near Downy which really showed size difference,1
URN:CornellLabOfOrnithology:EBIRD:OBS1923414206,Red-headed Woodpecker,rbwo,rbwo,facilitation-mixed flocking,co-occur,Red-bellied Woodpecker,Red-bellied Woodpecker,Both flew to the same tree along with the RBWO.,0
URN:CornellLabOfOrnithology:EBIRD:OBS1880373534,Brant,mallards,mallards,facilitation-feeding,facilitation-feeding,Mallard,Mallard,"Seen well - pictures to follow. Goose larger than the Mallards that it was foraging with - all dark head--and neck with defined separation between gray/brown back, white under tail coverts. Continuing.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1636631196,Red-breasted Merganser,"common, hooded mergansers","common, hooded mergansers",facilitation-mixed flocking,facilitation-mixed flocking,"Common Merganser, Hooded Merganser","Common Merganser, Hooded Merganser",Continuing. With Common and Hooded Mergansers. Photos.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1611580585,White-crowned Sparrow,house sparrows,house sparrows,facilitation-mixed flocking,facilitation-feeding,House Sparrow,House Sparrow,Continuing immature under feeder with house sparrows.,0
URN:CornellLabOfOrnithology:EBIRD:OBS1628306871,Sharp-shinned Hawk,tufted titmouse,tufted titmouse,predation,predation,Tufted Titmouse,Tufted Titmouse,Small accipiter with hood; successfully hunted a Tufted Titmouse.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1633639403,Lesser Scaup,mallard,mallards,facilitation-mixed flocking,co-occur,Mallard,Mallard,"1 adult female observed near Mallards in the large pond at the park. Seemed to be alone (only one if it’s kind). Much smaller than the Mallards surrounding her. Was attempting to dive in the pond. Had gray bill with white base. Had yellow/orange eyes, brown head and chest with buffy brown/ gray body. Pictures will be added soon.",0
URN:CornellLabOfOrnithology:EBIRD:OBS1598057970,Greater White-fronted Goose,canadas,canadas,facilitation-mixed flocking,facilitation-mixed flocking,Canada Goose,Canada Goose,"Standing on ice at edge of water where Huron River blends into Kent.Lake, They and most of the Canadas they were with flew off while I was walking to get my camera. Geese with orange legs white forehead pinkish bill brown body with diagnostic black speckling on belly.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1620783275,Sharp-shinned Hawk,no species,no species,no interaction,no interaction,no species,no species,"Continuing. Small hawk, slightly smaller than a crow, swooped by our bird feeders and landed on the ground under an ewe evergreen bush that the small birds like to congregate. Could see gray back and wings, gray and black striped, square tail. When it didn't arouse any birds into flight it flew up to a tree branch were its small gray head, orange barred breast, white rump and yellow legs and feet were visible. After about 10 seconds it flew off into the woods to the west. Total sighting was approximately 25 seconds.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1895019230,Glaucous Gull,herrings,herrings,facilitation-mixed flocking,co-occur,American Herring Gull,American Herring Gull,Likely the same first year bird reported from this morning. Huge white behemoth with light wingtips feeding and resting on the tarp. Larger than nearby herrings. Pics,0
URN:CornellLabOfOrnithology:EBIRD:OBS1872002824,Little Gull,bonies,bonies,facilitation-mixed flocking,facilitation-mixed flocking,Bonaparte's Gull,Bonaparte's Gull,Mixed with bonies. Photo.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1930398488,Trumpeter Swan,mute,mute,facilitation-mixed flocking,facilitation-mixed flocking,Mute Swan,Mute Swan,4 flew in honking others in open pond mixed groups with mute.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1608927771,Snow Goose,cagos,cagos,facilitation-mixed flocking,co-occur,Canada Goose,Canada Goose,"Continuing white goose with black tips, smaller than CAGOs it was with, ‘slimmer’ than domestic; as seen in farm field north side of Geddes between Brookside sub and Harris rd",0
URN:CornellLabOfOrnithology:EBIRD:OBS1630967021,Fox Sparrow,cooper,cooper's,predation,predation,Cooper's Hawk,Cooper's Hawk,Pair foraging and zzt calling back and forth. Almost got caught by a Cooper’s right in front of my face,1
URN:CornellLabOfOrnithology:EBIRD:OBS1637431136,Brown-headed Cowbird,no species,no species,no interaction,no interaction,no species,no species,"Sitting together in hedgerow. FOY, Well you take the good with bad as spring begins to appear on the horizon.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1622749248,Song Sparrow,no species,no species,no interaction,no interaction,no species,no species,"actual count, together on side of road",1
URN:CornellLabOfOrnithology:EBIRD:OBS1875504224,Black Scoter,bufflehead,bufflehead,co-occur,co-occur,Bufflehead,Bufflehead,"Group of 4 similarly plumaged females east of pier. Viewed from 50m with binocs/scope. Upturned bill more prominent than those of nearby bufflehead, dark. Dark cap extending down nape. Whitish cheek area noticeable under cap. When they took flight, showed all dark, though lighter color cheek/face still distinguishable.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1890738528,Little Gull,bonaparte⊙s gull,bonaparte's gulls,facilitation-mixed flocking,facilitation-mixed flocking,Bonaparte's Gull,Bonaparte's Gull,Adult bird flying for about an hour with a group of Bonaparte’s Gulls over the marshes on the eastern side of Anchor Bay. Slightly smaller than the BOGU; rounded wings with dark black underwings and pale upper wings with no leading white edge and no black primary tip on upper wing. Bird about half-mile out so scope views required but views clear. No photos obtained. Also seen by 3 other observers before view obscured by snow squall then could not be re-found.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1639635466,Common Grackle,robins,robins,co-occur,facilitation-feeding,American Robin,American Robin,A black iridescent bird with a long tail and yellow eyes. It was thrashing through the leaves along with the robins. I took a photo.,0
URN:CornellLabOfOrnithology:EBIRD:OBS1944601421,Surf Scoter,wwsc,wwsc,facilitation-mixed flocking,facilitation-mixed flocking,White-winged Scoter,White-winged Scoter,"mig with group of WWSC, ph--Dark-winged scoter with chunky, longish head and bill, and the appearance of opague remiges in bright sunlight.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1898928656,Trumpeter Swan,"mutes, tundras","mutes, tundras",co-occur,co-occur,"Mute Swan, Tundra Swan","Mute Swan, Tundra Swan","Resting on bank at Thorrington Lake. Long Sloping black bill, pointed forehead, able to distinguish between Mutes, and the Tundras nearby by bill comparisons.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1873989963,Brant,mallards,mallards,facilitation-mixed flocking,co-occur,Mallard,Mallard,"Seen with mallards, just off the sidewalk area with railings. Smaller goose with white rump and white marking on bill..",0
URN:CornellLabOfOrnithology:EBIRD:OBS1618234512,Sharp-shinned Hawk,mourning dove,mourning dove,predation,predation,Mourning Dove,Mourning Dove,"Mature male caught a mourning dove, dove is almost the same size as the hawk as seen in the not great pic.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1643564638,Lesser Black-backed Gull,herring gulls,herring gulls,facilitation-mixed flocking,facilitation-mixed flocking,American Herring Gull,American Herring Gull,Was hanging around a group of adult Herring Gulls but had noticeably darker back as well as yellow legs,1
URN:CornellLabOfOrnithology:EBIRD:OBS1635642758,White-crowned Sparrow,tree sparrows,tree sparrows,facilitation-mixed flocking,facilitation-mixed flocking,American Tree Sparrow,American Tree Sparrow,First year male appearing with tree sparrows,1
URN:CornellLabOfOrnithology:EBIRD:OBS1599414483,Long-tailed Duck,golden eyes,golden eyes,co-occur,facilitation-mixed flocking,Common Goldeneye,Common Goldeneye,"Continuing. Viewed through scope, from great distance, seemingly near Grand pointe Park. Moved from Nottingham Park, to attempt better views and it was absent from the group of Golden Eyes that it had been swimming with (hence no photo, or a very poor one possibly later).",0
URN:CornellLabOfOrnithology:EBIRD:OBS1932062392,Hooded Merganser,"common goldeneye, american black duck","common goldeneye, american black duck",facilitation-mixed flocking,facilitation-mixed flocking,"Common Goldeneye, American Black Duck","Common Goldeneye, American Black Duck",One male two female in a big group of common goldeneye and American black duck,1
URN:CornellLabOfOrnithology:EBIRD:OBS1871381199,Golden Eagle,no species,no species,no interaction,no interaction,no species,no species,Soaring together. Noticeable dihedral.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1926840067,Trumpeter Swan,"canada geese, mallards, mute swans, tundra swan","canada geese, mallards, mute swans, tundra swan",facilitation-mixed flocking,facilitation-mixed flocking,"Mallard, Canada Goose, Mute Swan, Tundra Swan","Mallard, Canada Goose, Mute Swan, Tundra Swan","Large group at the edge of the pack ice on the river. Grouped together with a large number of Canada geese, mallards, several mute swans and a single tundra swan.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1902045784,White-winged Crossbill,merlin,merlin,predation,predation,Merlin,Merlin,"Jit jit calls while flying over--At the Valley Road stop, the call lacked the buzzy, upward-inflected notes of PISI, or the chatter of CORE. I used Merlin to confirm my suspicions of WWCR instead of the clearer ""twit"" note of RECR. Same call was heard at other stops. In Maple City, we saw 5 at the tops of spruce trees, and they flew off giving the same call. At Century Rd, a group of 20 flew in calling, and we almost got a look before a Merlin chased them off.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1639629612,Common Grackle,"rwbls, starlings, cowbirds","rwbls, starlings, cowbirds",facilitation-mixed flocking,facilitation-mixed flocking,"Red-winged Blackbird, European Starling, Brown-headed Cowbird","Red-winged Blackbird, European Starling, Brown-headed Cowbird",A few mixed in with other RWBLs Starlings and Cowbirds.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1880072351,Fox Sparrow,juncos,juncos,facilitation-feeding,facilitation-feeding,Dark-eyed Junco,Dark-eyed Junco,They were looking for food in my yard with some juncos.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1900586006,Field Sparrow,"juncos, tree sparrows","juncos, tree sparrows",facilitation-mixed flocking,facilitation-mixed flocking,"Dark-eyed Junco, American Tree Sparrow","Dark-eyed Junco, American Tree Sparrow","Rusty cap, pinkish bill. White eye-ring. With juncos and tree sparrows",1
URN:CornellLabOfOrnithology:EBIRD:OBS1877407677,Eastern Towhee,sparrows,sparrows,facilitation-feeding,facilitation-feeding,White-throated Sparrow,White-throated Sparrow,"Female at feeder with sparrows, all field marks confirmed",1
URN:CornellLabOfOrnithology:EBIRD:OBS1635896520,Lesser Scaup,rndu,rndu,facilitation-mixed flocking,facilitation-mixed flocking,Ring-necked Duck,Ring-necked Duck,aythya ducks with peaked rear crowns and whitish sides. With rndu flock,1
URN:CornellLabOfOrnithology:EBIRD:OBS1602946699,Cackling Goose,geese,"geese, mallards",facilitation-feeding,co-occur,Canada Goose,Canada Goose,"Continuing. Conspicuously smaller than the other geese as they grazed side-by-side (not much larger than the mallards), sharper angle between bill and forehead, shorter bill, thinner legs (could be related to being smaller overall)",0
URN:CornellLabOfOrnithology:EBIRD:OBS1874044610,Purple Sandpiper,sea gulls,sea gulls,facilitation-feeding,co-occur,"American Herring Gull, Ring-billed Gull","American Herring Gull, Ring-billed Gull","Plump shorebird with dark grey upper, orange base on bill, foraging along the water edge by the sea gulls! Continuing on the north side of the pier towards the condos",0
URN:CornellLabOfOrnithology:EBIRD:OBS1952072459,Sharp-shinned Hawk,no species,no species,no interaction,no interaction,no species,no species,Small sized between blue jay and crow.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1902213485,Pine Siskin,white winged crossbill,white winged crossbills,facilitation-feeding,facilitation-feeding,White-winged Crossbill,White-winged Crossbill,Feeding on with White winged Crossbills.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1641862614,European Starling,no species,no species,no interaction,no interaction,no species,no species,Loose flock. Perched in tree above nearby houses.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1642988916,Iceland Gull,"ring-billed, herring gull","ring-billed, herring gull",co-occur,co-occur,"American Herring Gull, Ring-billed Gull","American Herring Gull, Ring-billed Gull","First winter. Size between nearby Ring-billed and Herring, and giving a petite impression when compared to the Herring Gull. Pale overall with no black in the wingtips, so likely to be a Kumlien's. Smallish all black bill",1
URN:CornellLabOfOrnithology:EBIRD:OBS1611694141,Cackling Goose,mallards,mallards,co-occur,co-occur,Mallard,Mallard,"Just a tiny bit larger than the Mallards present. Short necks. Tiny bills. Seen through a scope. --These geese were counted by ones using a Swarovski scope to scan through the individuals present. What was most noticeable to me was that there were no large geese (Canada Geese) present so size was determined by comparing the geese to the mallards that were also present and noting that they were almost identical in size. We studied these geese through a scope. None of us has a camera that could reach out that far. I am not good at estimating distance but try to think in terms of football fields. I believe that the birds were at least 1 1/2 to 2 football fields away, maybe farther. Ric might be able to give a better estimate of the distance out.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1635962448,Common Grackle,red winged blackbirds,red winged blackbirds,facilitation-mixed flocking,facilitation-mixed flocking,Red-winged Blackbird,Red-winged Blackbird,Mixed in with a flock of red winged blackbirds,1
URN:CornellLabOfOrnithology:EBIRD:OBS1607911713,Greater Scaup,redheads,redheads,facilitation-mixed flocking,facilitation-mixed flocking,Redhead,Redhead,"Huge number mixed in with redheads, estimate likely conservative",1
URN:CornellLabOfOrnithology:EBIRD:OBS1645746732,American Crow,no species,no species,no interaction,no interaction,no species,no species,Continuing. Flying together and calling out.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1643478948,American Black Duck,mallards,mallards,facilitation-mixed flocking,facilitation-mixed flocking,Mallard,Mallard,"Male, yellow bill, hanging out with group of mostly male Mallards",1
URN:CornellLabOfOrnithology:EBIRD:OBS1902034069,Common Goldeneye,northern shovelers,northern shovelers,facilitation-mixed flocking,facilitation-mixed flocking,Northern Shoveler,Northern Shoveler,Several pairs and small groups (4-6) throughout the facility among huge flotillas of Northern Shovelers,1
URN:CornellLabOfOrnithology:EBIRD:OBS1632483134,Greater White-fronted Goose,camada,canada's,co-occur,co-occur,Canada Goose,Canada Goose,"Mostly brown geese with white face and orange bills. Noticeably smaller than the Canada's next to them. Pics through the snow are rough, but can see the face.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1611650964,Common Grackle,mixed flock,no species,facilitation-mixed flocking,no interaction,no species,no species,Mixed flock in trees NE of DNR office,0
URN:CornellLabOfOrnithology:EBIRD:OBS1889371855,White-winged Scoter,susc,susc,facilitation-mixed flocking,facilitation-mixed flocking,Surf Scoter,Surf Scoter,"Dark diving ducks with striking white patches on their secondaries, which was apparent when they dove and fluttered their wings. These are likely the same birds that were reported yesterday at the same location my Amy Lyyski.--The birds were located fairly distantly toward the NE and were actively diving throughout the observation period. They were initially associating with a single SUSC and were several dozen meters north of a couple SUSC. However, the SUSC eventually shifted north and at the end of the observation period, the six scoters were associating as a single group.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1876028479,Ross's Goose,canada geese,canada geese,facilitation-mixed flocking,facilitation-mixed flocking,Canada Goose,Canada Goose,Continuing bird found by Lorri Wallet. With Canada Geese near picnic shelter #10,1
URN:CornellLabOfOrnithology:EBIRD:OBS1898552565,American Black Duck,mallard,mallard,facilitation-mixed flocking,facilitation-mixed flocking,Mallard,Mallard,"Large dabbler in small flock of Mallard. Darker body and flanks, light brown head, yellow bill. Slightly larger than female mallards nearby.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1868935118,Black Scoter,hooded merganser,hooded merganser,co-occur,co-occur,Hooded Merganser,Hooded Merganser,Probably the same group that Bruce has seen the past two days at various spots around the lake. Loosely associating with a group of hooded merganser. BLSCs were larger. Dark overall with pale cheek. Larger than RUDU would be and more upright. Didn’t have the low to the water look that I associate with RUDU. Too distant for photos.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1606472454,Short-eared Owl,northern harriers,northern harriers,co-occur,co-occur,Northern Harrier,Northern Harrier,"Heard several barking calls at dusk, then located one owl in flight - characteristic irregular flight pattern with several glides mixed in, choppy wing beats, swooping and turning. Buffy patches on forward primaries (outer wing). Second owl found perched on a wooden fence post, where we were able to use the scope for good looks. Darker upper body was facing us, and pale rounded facial disk visible when looking at us, showing dark markings only around the eyes. Lighter facial disk than long-eared, great-horned, or barred owls. Similar in size to the Northern Harriers also hunting in the same fields.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1937362172,Bufflehead,common goldeneyes,common goldeneyes,facilitation-mixed flocking,facilitation-mixed flocking,Common Goldeneye,Common Goldeneye,Mixed in with a small flock of Common Goldeneyes,1
URN:CornellLabOfOrnithology:EBIRD:OBS1640224692,White-throated Sparrow,"tree sparrows, goldfinches","tree sparrows, goldfinches",facilitation-mixed flocking,facilitation-feeding,"American Tree Sparrow, American Goldfinch","American Tree Sparrow, American Goldfinch",Black streaks in head and bright white throat. Mixed with several tree sparrows and goldfinches at feeder.,0
URN:CornellLabOfOrnithology:EBIRD:OBS1904057198,Redhead,scaups,scaups,facilitation-mixed flocking,facilitation-mixed flocking,scaup sp.,scaup sp.,"Clear view of male redhead, diving with scaups. Dark red head, dark grey tail and breast, light gray flanks. Bluish beak.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1927614314,Canada Goose,no species,bird,no interaction,co-occur,no species,bird sp.,"The sound of many geese headed over this observer from behind the building was overwhelming, only to see a very different bird soaring high above and behind the flock.",0
URN:CornellLabOfOrnithology:EBIRD:OBS1901436304,Glaucous Gull,herg,herg,co-occur,co-occur,no species,no species,"Large, all pale gull resting on tarp, larger than nearby HERG. No black wing tips. See photo.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1595627121,Horned Grebe,"common goldeneyes, greater scaup","common goldeneyes, greater scaup",facilitation-mixed flocking,facilitation-mixed flocking,"Common Goldeneye, Greater Scaup","Common Goldeneye, Greater Scaup","Scattered along a large raft of mixed Common Goldeneyes and Greater Scaup. The most I have seen in this location, but it is a common site to find this species this time of year.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1899811578,Black Scoter,redheads,redheads,facilitation-mixed flocking,facilitation-mixed flocking,Redhead,Redhead,Female with redheads. Large uniformly dark black duck with large pale face patch.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1621890224,Snow Bunting,"horned larks, lapland longspurs","horned larks, lapland longspurs",facilitation-mixed flocking,facilitation-mixed flocking,"Horned Lark, Lapland Longspur","Horned Lark, Lapland Longspur",Estimate. Large mixed flock of Horned Larks and Snow Buntings with a few Lapland Longspurs,1
URN:CornellLabOfOrnithology:EBIRD:OBS1611649515,Fox Sparrow,house sparrows,house sparrows,facilitation-mixed flocking,facilitation-feeding,House Sparrow,House Sparrow,With flock of House Sparrows. Rust and grey scratching ground around feeder. Flock left and one remained much longer.,0
URN:CornellLabOfOrnithology:EBIRD:OBS1886647132,Trumpeter Swan,musw,musw,co-occur,co-occur,Mute Swan,Mute Swan,All dark bills no yellow lores. Not smaller than the MuSW nearby,1
URN:CornellLabOfOrnithology:EBIRD:OBS1878181945,Canvasback,ring-necks,ring-necks,facilitation-mixed flocking,co-occur,Ring-necked Duck,Ring-necked Duck,Saw 2 on the lake with Ring-necks and a flock of 78+ flew overhead but didn't land,0
URN:CornellLabOfOrnithology:EBIRD:OBS1866994567,Tundra Swan,mutes,mutes,co-occur,co-occur,Mute Swan,Mute Swan,"Two adult pair, with three immature. One pair close enough to see yellow spot on bill, the other pair more distant, but noticeably smaller to very nearby mutes.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1915646889,Bufflehead,duck,mixed duck groups,facilitation-mixed flocking,facilitation-mixed flocking,no species,no species,"Spread across both ponds, intermixed in larger mixed duck groups and off in smaller groups. Small ducks with large white head patch (males) and small white cheek patch (females). Dive often.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1607296695,Green-winged Teal,mallards,mallards,facilitation-mixed flocking,facilitation-feeding,Mallard,Mallard,Known location. Green and brown headed duck feeding in muddy edge of pond with a group of mallards. Audio recording verified.,0
URN:CornellLabOfOrnithology:EBIRD:OBS1912449464,Swamp Sparrow,atsp,atsp,facilitation-mixed flocking,facilitation-mixed flocking,American Tree Sparrow,American Tree Sparrow,Heard calling with flock of ATSP.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1915646887,Greater Scaup,lesser scaups,lesser scaups,co-occur,co-occur,Lesser Scaup,Lesser Scaup,Rounded head. Near lesser scaups.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1907077940,Pine Siskin,goldfinches,goldfinches,facilitation-mixed flocking,facilitation-mixed flocking,American Goldfinch,American Goldfinch,Mixed with Goldfinches in Alders and Yellow Birches.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1875220301,Pine Siskin,goldfinches,goldfinches,facilitation-feeding,facilitation-feeding,American Goldfinch,American Goldfinch,Feeding on the birch seeds with the goldfinches,1
URN:CornellLabOfOrnithology:EBIRD:OBS1618991365,Red-bellied Woodpecker,"hairy, doves","doves, hairy",competition,competition,"Hairy Woodpecker, Mourning Dove","Hairy Woodpecker, Mourning Dove","Female red-bellied flew in and drove off 2 doves and a male hairy, though it took a few tries to get the doves to leave.",1
