species1_common,species2_common,multispecies,interaction,uncertain_descriptio,global_unique_identifier,uncertain_description,common_name,species_comments
Trumpeter Swan,"Canada geese, mallards, mute swans, tundra swan",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1926840067,,Trumpeter Swan,"Large group at the edge of the pack ice on the river. Grouped together with a large number of Canada geese, mallards, several mute swans and  a single tundra swan."
White-winged Crossbill,Merlin,,predation,,URN:CornellLabOfOrnithology:EBIRD:OBS1902045784,TRUE,White-winged Crossbill,"Jit jit calls while flying over--At the Valley Road stop, the call lacked the buzzy, upward-inflected notes of PISI, or the chatter of CORE. I used Merlin to confirm my suspicions of WWCR instead of the clearer ""twit"" note of RECR. Same call was heard at other stops. In Maple City, we saw 5 at the tops of spruce trees, and they flew off giving the same call. At Century Rd, a group of 20 flew in calling, and we almost got a look before a Merlin chased them off."
Common Grackle,"RWBLs, Starlings, Cowbirds",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1639629612,,Common Grackle,A few mixed in with other RWBLs Starlings and Cowbirds.
Fox Sparrow,juncos,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1880072351,,Fox Sparrow,They were looking for food in my yard with some juncos.
Field Sparrow,"juncos, tree sparrows",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1900586006,,Field Sparrow,"Rusty cap, pinkish bill. White eye-ring. With juncos and tree sparrows"
Eastern Towhee,sparrows,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1877407677,,Eastern Towhee,"Female at feeder with sparrows, all field marks confirmed"
Lesser Scaup,mdu,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1635896520,,Lesser Scaup,aythya ducks with peaked rear crowns and whitish sides. With rndu flock
Cackling Goose,geese,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1602946699,,Cackling Goose,"Continuing. Conspicuously smaller than the other geese as they grazed side-by-side (not much larger than the mallards), sharper angle between bill and forehead, shorter bill, thinner legs (could be related to being smaller overall)"
Purple Sandpiper,sea gulls,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1874044610,,Purple Sandpiper,"Plump shorebird with dark grey upper, orange base on bill, foraging along the water edge by the sea gulls! Continuing on the north side of the pier towards the condos"
Sharp-shinned Hawk,,,no interaction,,URN:CornellLabOfOrnithology:EBIRD:OBS1952072459,,Sharp-shinned Hawk,Small sized between blue jay and crow.
Pine Siskin,White winged Crossbill,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1902213485,,Pine Siskin,Feeding on  with White winged Crossbills.
European Starling,,,no interaction,,URN:CornellLabOfOrnithology:EBIRD:OBS1641862614,,European Starling,Loose flock. Perched in tree above nearby houses.
Iceland Gull,"Ring-billed, Herring Gull",TRUE,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1642988916,,Iceland Gull,"First winter. Size between nearby Ring-billed and Herring, and giving a petite impression when compared to the Herring Gull. Pale overall with no black in the wingtips, so likely to be a Kumlien's. Smallish all black bill"
Cackling Goose,Mallards,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1611694141,,Cackling Goose,"Just a tiny bit larger than the Mallards present. Short necks. Tiny bills. Seen through a scope. --These geese were counted by ones using a Swarovski scope to scan through the individuals present. What was most noticeable to me was that there were no large geese (Canada Geese) present so size was determined by comparing the geese to the mallards that were also present and noting that they were almost identical in size. We studied these geese through a scope. None of us has a camera that could reach out that far.  I am not good at estimating distance but try to think in terms of football fields. I believe that the birds were at least 1 1/2 to 2 football fields away, maybe farther. Ric might be able to give a better estimate of the distance out."
Common Grackle,red winged blackbirds,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1635962448,,Common Grackle,Mixed in with a flock of red winged blackbirds
Greater Scaup,redheads,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1607911713,,Greater Scaup,"Huge number mixed in with redheads, estimate likely conservative"
American Crow,,,,,URN:CornellLabOfOrnithology:EBIRD:OBS1645746732,,American Crow,Continuing. Flying together and calling out.
American Black Duck,Mallards,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1643478948,,American Black Duck,"Male, yellow bill, hanging out with group of mostly male Mallards"
Common Goldeneye,Northern Shovelers,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1902034069,,Common Goldeneye,Several pairs and small groups (4-6) throughout the facility among huge flotillas of Northern Shovelers
Greater White-fronted Goose,Camada,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1632483134,,Greater White-fronted Goose,"Mostly brown geese with white face and orange bills. Noticeably smaller than the Canada's next to them. Pics through the snow are rough, but can see the face."
Common Grackle,mixed flock,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1611650964,,Common Grackle,Mixed flock in trees NE of DNR office
White-winged Scoter,SUSC,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1889371855,,White-winged Scoter,"Dark diving ducks with striking white patches on their secondaries, which was apparent when they dove and fluttered their wings. These are likely the same birds that were reported yesterday at the same location my Amy Lyyski.--The birds were located fairly distantly toward the NE and were actively diving throughout the observation period. They were initially associating with a single SUSC and were several dozen meters north of a couple SUSC. However, the SUSC eventually shifted north and at the end of the observation period, the six scoters were associating as a single group."
Ross's Goose,Canada Geese,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1876028479,,Ross's Goose,Continuing bird found by Lorri Wallet. With Canada Geese near picnic shelter #10
American Black Duck,Mallard,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1898552565,,American Black Duck,"Large dabbler in small flock of Mallard. Darker body and flanks, light brown head, yellow bill. Slightly larger than female mallards nearby."
Black Scoter,hooded merganser,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1868935118,,Black Scoter,Probably the same group that Bruce has seen the past two days at various spots around the lake. Loosely associating with a group of hooded merganser. BLSCs were larger. Dark overall with pale cheek. Larger than RUDU would be and more upright. Didn’t have the low to the water look that I associate with RUDU. Too distant for photos.
Short-eared Owl,Northern Harriers,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1606472454,,Short-eared Owl,"Heard several barking calls at dusk, then located one owl in flight - characteristic irregular flight pattern with several glides mixed in, choppy wing beats, swooping and turning. Buffy patches on forward primaries (outer wing). Second owl found perched on a wooden fence post, where we were able to use the scope for good looks. Darker upper body was facing us, and pale rounded facial disk visible when looking at us, showing dark markings only around the eyes. Lighter facial disk than long-eared, great-horned, or barred owls. Similar in size to the Northern Harriers also hunting in the same fields."
Bufflehead,Common Goldeneyes,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1937362172,,Bufflehead,Mixed in with a small flock of Common Goldeneyes
White-throated Sparrow,"tree sparrows, goldfinches",yes,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1640224692,,White-throated Sparrow,Black streaks in head and bright white throat. Mixed with several tree sparrows and goldfinches at feeder.
Redhead,scaups,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1904057198,,Redhead,"Clear view of male redhead, diving with scaups. Dark red head, dark grey tail and breast, light gray flanks. Bluish beak."
Canada Goose,,,no interaction,,URN:CornellLabOfOrnithology:EBIRD:OBS1927614314,,Canada Goose,"The sound of many geese headed over this observer from behind the building was overwhelming, only to see a very different bird soaring high above and behind the flock."
Glaucous Gull,HERG,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1901436304,,Glaucous Gull,"Large, all pale gull resting on tarp, larger than nearby HERG. No black wing tips. See photo."
Horned Grebe,"Common Goldeneyes, Greater Scaup",yes,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1595627121,,Horned Grebe,"Scattered along a large raft of mixed Common Goldeneyes and Greater Scaup. The most I have seen in this location, but it is a common site to find this species this time of year."
Black Scoter,redheads,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1899811578,,Black Scoter,Female with redheads. Large uniformly dark black duck with large pale face patch.
Snow Bunting,"Horned Larks, Lapland Longspurs",yes,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1621890224,,Snow Bunting,Estimate. Large mixed flock of Horned Larks and Snow Buntings with a few Lapland Longspurs
Fox Sparrow,House Sparrows,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1611649515,,Fox Sparrow,With flock of House Sparrows. Rust and grey scratching ground around feeder. Flock left and one remained much longer.
Trumpeter Swan,MuSW,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1886647132,,Trumpeter Swan,All dark bills no yellow lores. Not smaller than the MuSW nearby
Canvasback,Ring-necks,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1878181945,,Canvasback,Saw 2 on the lake with Ring-necks and a flock of 78+ flew overhead but didn't land
Tundra Swan,mutes,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1866994567,,Tundra Swan,"Two adult pair, with three immature.  One pair close enough to see yellow spot on bill, the other pair more distant, but noticeably smaller to very nearby mutes."
Bufflehead,duck,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1915646889,,Bufflehead,"Spread across both ponds, intermixed in larger mixed duck groups and off in smaller groups. Small ducks with large white head patch (males) and small white cheek patch (females). Dive often."
Green-winged Teal,mallards,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1607296695,,Green-winged Teal,Known location. Green and brown headed duck feeding in muddy edge of pond with a group of mallards. Audio recording verified.
Swamp Sparrow,ATSP,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1912449464,,Swamp Sparrow,Heard calling with flock of ATSP.
Greater Scaup,lesser scaups,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1915646887,,Greater Scaup,Rounded head. Near lesser scaups.
Pine Siskin,Goldfinches,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1907077940,,Pine Siskin,Mixed with Goldfinches in Alders and Yellow Birches.
Pine Siskin,goldfinches,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1875220301,,Pine Siskin,Feeding on the birch seeds with the goldfinches
Red-bellied Woodpecker,"hairy, doves",yes,competition,,URN:CornellLabOfOrnithology:EBIRD:OBS1618991365,,Red-bellied Woodpecker,"Female red-bellied flew in and drove off 2 doves and a male hairy, though it took a few tries to get the doves to leave."
Lesser Scaup,bald eagle,,predation,,URN:CornellLabOfOrnithology:EBIRD:OBS1902918209,,Lesser Scaup,"Watched a bald eagle take a female out of the lake and eat it in a tree. The eagle snatched it out of the water and carried it to a branch by its head. The duck fought for a good 8 minutes on the branch (+another few minutes when the eagle was diving underwater to get a grip on it), flapping its wings and kicking the eagle on the branch with feathers being plucked out of it before it finally died. Horrible way to die."
Brown-headed Cowbird,Red Winged Blackbirds,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1649682843,,Brown-headed Cowbird,"Chunky blackbird with brown head, black body. Two mixed in flock of Red Winged Blackbirds. Eating on ground."
Pileated Woodpecker,"Downy, Red Bellied Woodpecker",yes,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1639247770,,Pileated Woodpecker,"On tree near feeder with 1Downy, 1 Red Bellied Woodpecker"
Lesser Scaup,goldeneyes,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1642998170,,Lesser Scaup,"Mix of males and females with goldeneyes. Black in front and back, whitish in middle. Some males visible with purplish sheen on head."
Ring-billed Gull,,,no interaction,,URN:CornellLabOfOrnithology:EBIRD:OBS1868965955,,Ring-billed Gull,Together. Roosting on point of land near shoreline.
Snow Bunting,"Horned Larks, Lapland Longspurs",yes,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1925309507,,Snow Bunting,"Mixed flock of Snow Buntings, Horned Larks, and Lapland Longspurs flying  north and south over harvested fields on Vreeland west of Gotfredson, before the farm. Landed on road for short time before flying off again."
Snow Goose,"Ross's goose, CAGO, mallards, sandhill cranes",yes,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1873580615,,Snow Goose,"Immature. Darker and larger than nearby immature Ross's goose. Dark bill. Foraging corn stubble with CAGO, mallards, sandhill cranes and ross's goose. See pics."
Wood Duck,Mallards,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1626312985,,Wood Duck,Drake Woodie mixed in with the Mallards. Has been here for several days
Trumpeter Swan,Mute Swans,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1644664093,,Trumpeter Swan,"An all white feathered swan large or larger than the Mute Swans near it, with a thinner neck. Large all black bill and black legs and feet. Pics to be added."
European Starling,COHA,,amensalism,,URN:CornellLabOfOrnithology:EBIRD:OBS1612835247,,European Starling,Estimate by 10s. Flock flushed by COHA
Eastern Towhee,"Cardinal, tree sparrows",yes,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1883422155,,Eastern Towhee,"Popped up on top of a winterberry next to a pond with Cardinal and tree sparrows. Distinct male in full color. Black, white, and orange sides"
Gadwall,Canadian Geese,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1636155529,,Gadwall,One pair was swimming at the west end of the lake by themselves. There were 3 other pairs swimming along the south shore of the lake among several Canadian Geese.
Horned Lark,"ATSP, Juncos",yes,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1616414267,,Horned Lark,Est in Mixed flock with Juncos and ATSPs in field beyond woods
Sandhill Crane,,,no interaction,,URN:CornellLabOfOrnithology:EBIRD:OBS1628509477,,Sandhill Crane,All together in a marsh. See pics.
Rusty Blackbird,"Starling, Redwing Blackbirds",yes,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1865399915,,Rusty Blackbird,"Mixed flock of about 40 birds- Starling, Redwing Blackbirds"
Mallard,geese,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1935354416,,Mallard,flying in groups with geese
Bald Eagle,,,no interaction,,URN:CornellLabOfOrnithology:EBIRD:OBS1608786586,,Bald Eagle,Sitting side by side.
American Wigeon,GADW,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1921642264,,American Wigeon,"2 m, 2 f separate but close to GADW."
Short-eared Owl,,,no interaction,,URN:CornellLabOfOrnithology:EBIRD:OBS1910319178,,Short-eared Owl,"continued       ---          <a href=""https://www.flickr.com/photos/28582037@N05/53430972892/in/datetaken-public/"" title=""NOHA & SEOW, Jackson co.""><img src=""https://live.staticflickr.com/65535/53430972892_a17500cbe4_o.jpg"" alt=""NOHA & SEOW, Jackson co."" /></a>"
Sharp-shinned Hawk,bird,,predation,,URN:CornellLabOfOrnithology:EBIRD:OBS1640463622,,Sharp-shinned Hawk,"Short square tail, small head, pursuing small bird at about 25 feet off the ground.  Fast glide separated by frequent quick wingbeats."
Hooded Merganser,"mallards, Canada Geese",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1911096611,,Hooded Merganser,4 females and 3 males mixed in with mallards and Canada Geese in the pond on the south end of Swanson Road
Merlin,crows,,mobbing,,URN:CornellLabOfOrnithology:EBIRD:OBS1903936430,,Merlin,"Amazingly, this Merlin is still hanging around. It’s been in the area – my neighborhood – for more than a month now. It was harassed by two crows this morning."
Canvasback,Redhead,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS2237097926,,Canvasback,"It was unusual, but not unheard of to see a Canvasback in the large flocks of Redhead."
Snow Goose,trumpeter swans,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1867276893,,Snow Goose,Dark morph adult. With trumpeter swans.
Red-tailed Hawk,,,no interaction,,URN:CornellLabOfOrnithology:EBIRD:OBS1925131464,,Red-tailed Hawk,sitting together in tree
Pine Siskin,AMGO,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1597266763,,Pine Siskin,Flock with AMGO foraging in cedars on cones and calling frequently. Many cone scales on forest floor as indication that flocks were feeding throughout the area.
Bald Eagle,crows,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1896201986,,Bald Eagle,"Immature soaring over the large farmer's field near Hickman, guarded by many crows"
Red-winged Blackbird,"COGR, RUBL, YHBB, BHCO",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1636183957,,Red-winged Blackbird,"Massive flock of blackbirds, volume growing every visit.  Picture of one tree full of blackbirds, at least 8 trees full of birds, with hundreds more streaming in and out.   Over 100 COGR mixed in, a couple of RUBL, one YHBB, and small amount of BHCO."
Horned Lark,harrier,,predation,,URN:CornellLabOfOrnithology:EBIRD:OBS1641784842,,Horned Lark,Harried by the harrier.
Brown-headed Cowbird,grackles,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1913579037,,Brown-headed Cowbird,A handful mixed in with the grackles
Hooded Merganser,mallards,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1607200365,,Hooded Merganser,Female present with mallards
American Wigeon,Scaups,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1597329781,,American Wigeon,Swimming along with the Scaups.
Bohemian Waxwing,CEDW,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1933383645,,Bohemian Waxwing,Counted by ten’s.  Will get more accurate count later from photos.  Larger than adjacent CEDW.
White-winged Scoter,SUSC,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1897518294,,White-winged Scoter,Continuing.  Large Dark Ducks with white wing patches visible while swimming and flying.  Nice comparison with nearby SUSC.
Trumpeter Swan,"geese, mallards",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1594190049,,Trumpeter Swan,"Black bill, trumpeting. Lots, with geese and mallards."
Cackling Goose,Canadian Geese,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1914167176,,Cackling Goose,Smaller than the other Canadian Geese they were swimming near. Shorter snub tip beak.
Chipping Sparrow,juncos,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1866979349,,Chipping Sparrow,"Rusty cap, black eyeline, foraging with juncos."
Snow Goose,CAGO,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1865425749,,Snow Goose,"2 white, 1 blue phase; with CAGO."
Common Grackle,"juncos, tree sparrows",TRUE,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1924083825,,Common Grackle,"All black bird, yellow eye, smaller than crow. Was foraging in mud with juncos and tree sparrows"
House Finch,"EUST, HOSP",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1927614310,,House Finch,"Fairly regular occurrence are these HOFI flocking up alongside EUST with a small handful of HOSP in the CEC Podium parking courtyard, with the bulk flocking up in the east courtyard with the building."
Cedar Waxwing,"robins, starlings",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1890423335,,Cedar Waxwing,"Had to push our way through bushes and branches to walk upstream along Mallets Creek. Several flocks of robins, starlings, and cedar waxingwings were flying across Mallets Creek back and forth perching and making loud calls. Almost reminiscent of Hitchcock's The Birds."
Snow Goose,Canada geese,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1867899496,,Snow Goose,4 dark morph 2 white. Landed with Canada geese. I took a photo with my scope.
Iceland Gull,Herrings,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1914452550,,Iceland Gull,"Slightly smaller Laris gull among Herrings. Light brownish-gray body and head overall, thin and long bill that is light pink with dark tip. More pink than gab is typical so possibly early second cycle bird. Pale brown primaries with crisp white edging to them. Dove-like head shape with more calm looking demeanor compared to less rounded head shape of Herrings."
Ross's Goose,Canadas,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1604725052,,Ross's Goose,Single Ross mixed with Canadas feeding in turned corn field. Mallard size. Short orangish pink bill. Black wing tips. No “grin” like a Snow. Tom Healey also observed Ross at this location.
Cackling Goose,CANGs,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1887145422,,Cackling Goose,"*Rare, possibly continuing. Spotted by Todd Palgut sitting on the ice, all together in a group. Very small white-cheeked geese with tiny bills and short necks, much smaller than surrounding CANGs. Photos"
Cackling Goose,Canadas,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1595575261,,Cackling Goose,"Group of 6 keeping separate from Canadas.  Smaller birds, shorter bills."
European Starling,bohemian waxwings,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1600447608,,European Starling,Estimate.  With bohemian waxwings feeding in crab apple tree and roosting in poplar trees between dives into crab.
Wood Duck,mallards,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1615011111,,Wood Duck,Pic. 5 of them with the mallards across from the beavers den. Nesting in the reeds arround the small island with three trees surrounded by water.
Iceland Gull,RBGU,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1886389633,,Iceland Gull,Medium sized gull. Completely pale wingtips. Bill a dull yellowish grey. Noticeably different than nearby RBGU.
Snow Goose,Canada geese,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1912897027,,Snow Goose,Continuing. It does not blend in. Stark white in a sea of Canada geese.
Red-headed Woodpecker,blue jays,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1919276090,,Red-headed Woodpecker,"Heard rattle calls at Long Skinny Park/Hamlin lake. Foraging high in tree tops with a group kf blue jays. Adult. Solid red head, prominent white patch in wings."
American Robin,Juncos,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1621674491,,American Robin,Large group feeding on berries.  Juncos mixed in.
Northern Flicker,,,no interaction,,URN:CornellLabOfOrnithology:EBIRD:OBS1631101475,,Northern Flicker,Observed together in woodland along river front; characteristic front spots and black crescent observed.
Cedar Waxwing,"robins, starlings",,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1623532976,,Cedar Waxwing,Hangs out with the robins
Cackling Goose,Ross,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1620639081,,Cackling Goose,"Possibly more.  Associating with the Ross’s and close in size to that bird.  Short neck, rounded heads and stubby bill."
Tundra Swan,mute swans,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1597943422,,Tundra Swan,They were very vocal on the water and stayed separated from the mute swans.
American Goldfinch,evening grosbeaks,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1637171929,,American Goldfinch,25-35 visit daily with the evening grosbeaks.
Horned Lark,"snow bunting, Lapland longspur",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1641524543,,Horned Lark,Huge mixed flock with snow bunting and Lapland longspur
Field Sparrow,ATSPs,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1889394333,,Field Sparrow,"*Scarce in winter. Small sparrow with long tail, small pink bill, brown upperparts, unmarked gray below, and a prominent white eye-ring in with a flock of ATSPs"
Hermit Thrush,Robin,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1937132931,,Hermit Thrush,"Pale breast with dark spots, brown back and reddish tail, complete gray eye ring. On ground poking through leaves where snow has melted. Heard soft chuck calls before spotting. Smaller than Robin (which was also in the area during the checklist)."
Cackling Goose,"CANG, Snow Goose",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1919116981,,Cackling Goose,"Continuing. Photos. Short, snubby bill, short neck, size far smaller than CANG, slightly larger than Mallard. Pictured together with a slightly larger Snow Goose."
Brant,"Canadas, Mallards",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1879118460,,Brant,Continuing. Seen to the north from end of the pier with Canadas and Mallards. Finally! :) lifer! Photos to come.
Lesser Black-backed Gull,"Ring-billes, Herring",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1636762596,,Lesser Black-backed Gull,"Mixed in with larger gull group. Darker than surrounding Ring-bills and Herring, but not quite as large looking as the Herring Gulls. Did not seem to have the darkness of a great black-backed."
Mallard,Canada Geese,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1934892463,,Mallard,Flyovers in groups with Canada Geese
Lapland Longspur,tree sparrows,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1931944381,,Lapland Longspur,"Cont. Pic. Mixed with tree sparrows, in and under birch trees, W side of fish cleaning parking lot."
Trumpeter Swan,mutes,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1604679720,,Trumpeter Swan,"all thick black bill, straighter neck than mutes, was with a few mutes, body different, bigger looking than tundras. was seen in area earlier in the year."
Iceland Gull,"RBGU, HEGU",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1598673101,,Iceland Gull,"Slightly larger than RBGU, slightly smaller than HEGU.  Small round dove like head.  Gray back with some dark in primaries.  South end of beach on the sandbar with other gulls."
Pied-billed Grebe,coots,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1629538648,,Pied-billed Grebe,Hanging out with the coots
